702710,26425,20130405,20.9,8,-1.1,8,1014.4,8,954.1,8,10,8,10.3,8,13,19,   28.0*,  14.0*, 0.00I,999.9,0,62159,-145459,62.159,-145.459,AK
702715,46407,20130405,12.8,9,-3.4,9,9999.9,0,894.2,9,10,9,7.2,9,9.9,999.9,   17.6*,   3.2*, 0.00I,999.9,0,61933,-147167,61.933,-147.167,AK
702720,26401,20130405,34.2,8,6.5,8,1009.7,8,1001.7,8,10,8,9.5,8,13,999.9,   39.4*,  28.8*, 0.00I,999.9,0,61250,-149800,61.25,-149.8,AK
702725,26491,20130405,34.1,8,11.5,8,1010,8,1005.2,8,10,8,9.1,8,13,19,   39.0*,  30.0*, 0.00I,999.9,0,61183,-149967,61.183,-149.967,AK
702730,26451,20130405,34.9,8,7.8,8,1009.5,8,1004.6,8,10,8,11.2,8,15,19,   39.0*,  30.9*, 0.00I,14.2,0,61169,-150028,61.169,-150.028,AK
702735,26409,20130405,35.8,8,7.8,8,1009.6,8,1004.5,8,10,8,6,8,9.9,999.9,   42.1*,  30.0*, 0.00I,11,0,61200,-149833,61.2,-149.833,AK
702740,25331,20130405,34.2,8,1.1,8,1009.4,8,1000,8,10,8,16.6,8,21,33,   37.9*,  30.9*, 0.00I,999.9,0,61595,-149089,61.595,-149.089,AK
702746,26497,20130405,34.7,8,11.3,8,9999.9,0,1007.1,8,10,8,7,8,11.1,15.9,   39.2*,  24.8*, 0.00I,999.9,0,61417,-149500,61.417,-149.5,AK
702756,26479,20130405,33.8,9,7,9,9999.9,0,1006.7,9,10,9,9.4,9,19,31.1,   37.4*,  28.4*, 0.00I,999.9,0,61133,-146250,61.133,-146.25,AK
702770,26438,20130405,35,8,24.9,8,1009,8,1008,8,10,8,4.8,8,7,999.9,   41.0*,  28.0*, 0.00I,999.9,0,60117,-149450,60.117,-149.45,AK
702910,26412,20130405,11.2,8,-8.8,8,1021.7,8,954.4,8,10,8,2.3,8,4.1,999.9,   21.0*,  -4.0*, 0.00I,13,0,62962,-141938,62.962,-141.938,AK
702960,26410,20130405,35.4,8,10.9,8,1009.1,8,1007.4,8,10,8,3.1,8,8,999.9,   42.1*,  28.0*, 0.00I,5.1,0,60489,-145451,60.489,-145.451,AK
703051,26521,20130405,26.4,8,6.2,8,1015.1,8,1012.1,8,10,8,7,8,8.9,15,   28.0*,  23.0*, 0.00I,999.9,0,62183,-159783,62.183,-159.783,AK
