STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
700632,26645,20130405,20.6,9,6.6,9,9999.9,0,1024.5,9,10,9,10.6,9,18.1,22.9,   24.8*,  17.6*, 0.00I,999.9,0,65983,-161150,65.983,-161.15,AK
700634,27408,20130402,-8.6,16,-12.7,16,9999.9,0,1033.2,15,2.8,16,15,16,19,999.9,    1.4*, -14.8*, 0.00I,999.9,0,70317,-149583,70.317,-149.583,AK
700634,27408,20130403,-13.2,15,-17.7,15,9999.9,0,1040.3,15,9.6,15,8.3,14,15,999.9,   -5.8*, -22.0*, 0.00I,999.9,0,70317,-149583,70.317,-149.583,AK
700634,27408,20130404,-13.4,15,-18,15,9999.9,0,1041.8,15,9,15,5.7,15,8,999.9,   -4.0*, -22.0*, 0.00I,999.9,0,70317,-149583,70.317,-149.583,AK
700637,27406,20130402,-4.9,24,-10.1,24,1035,17,1032.1,24,3.5,24,17.1,24,21,999.9,    3.2*, -11.9*, 0.00G,999.9,1000,70192,-148477,70.192,-148.477,AK
700637,27406,20130403,-9.7,24,-15.2,24,1041.8,24,1039.3,24,10,24,9,24,15.9,999.9,-4,-14.1, 0.00G,999.9,0,70192,-148477,70.192,-148.477,AK
700637,27406,20130404,-10.4,24,-15.5,24,1044.3,24,1041.8,24,8.8,24,5.5,24,8.9,999.9,-2.9,-18, 0.00G,999.9,1000,70192,-148477,70.192,-148.477,AK
700637,27406,20130405,-7.4,8,-13,8,1039.9,8,1037.4,8,7.6,8,5.2,8,9.9,999.9,   -5.1*, -11.0*, 0.00H,999.9,1000,70192,-148477,70.192,-148.477,AK
700638,99999,20130402,35.8,24,30.1,24,1024.4,17,9999.9,0,10,24,7,24,16.9,27,39,33.1, 0.37G,999.9,10000,54850,-163417,54.85,-163.417,AK
700638,99999,20130403,37.5,24,34.9,24,1012.2,15,9999.9,0,7.4,24,17.3,24,25.1,39,   39.2*,  35.6*, 0.34G,999.9,11000,54850,-163417,54.85,-163.417,AK
700638,99999,20130404,37.8,22,35.3,22,1009.9,14,9999.9,0,7.2,22,13.9,22,22,29.9,   39.2*,  33.8*, 1.37G,999.9,11000,54850,-163417,54.85,-163.417,AK
700860,27401,20130402,-5.6,24,-9.9,24,1036.6,14,1035.3,24,9.3,24,10.9,24,18.1,999.9,3.9,-11.9, 0.00H,999.9,1000,70133,-143633,70.133,-143.633,AK
700860,27401,20130403,-7.8,24,-14,24,1041.7,24,1041.5,24,9.4,24,2.1,24,8,999.9,    8.1*, -18.9*, 0.00H,999.9,1000,70133,-143633,70.133,-143.633,AK
700860,27401,20130404,-7.7,24,-13.3,24,1043.7,24,1043.6,24,9.2,24,5.4,24,11.1,999.9,9,-17, 0.00H,999.9,1000,70133,-143633,70.133,-143.633,AK
700860,27401,20130405,-7,9,-11,9,9999.9,0,1038.9,9,5.9,9,6.3,9,8.9,999.9,   -4.0*, -11.9*,99.99,999.9,1000,70133,-143633,70.133,-143.633,AK
701040,26631,20130402,-1.7,20,-4.5,20,1026.7,20,9999.9,0,10,20,3.6,5,5.1,999.9,    3.2*,  -5.8*, 0.00I,999.9,0,68883,-166133,68.883,-166.133,AK
701040,26631,20130403,2,24,-2.3,24,1032.1,24,9999.9,0,9.3,24,999.9,0,999.9,999.9,    8.6*,  -2.2*,99.99,999.9,1000,68883,-166133,68.883,-166.133,AK
701040,26631,20130404,4.9,24,0.4,24,1037,24,9999.9,0,10,24,999.9,0,999.9,999.9,   10.4*,  -5.8*, 0.00I,999.9,0,68883,-166133,68.883,-166.133,AK
701043,26623,20130403,8.2,5,-0.4,5,9999.9,0,1031.9,5,999.9,0,4.6,5,9.9,999.9,   15.8*,   3.2*, 0.00I,999.9,0,68350,-166800,68.35,-166.8,AK
